epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,94.9742,1.32013,2.41426,0.02083,0.76663,0.73314,0.7976,0.54439,1.1245,0.96029,0.02666,0.00996016,0.00332005,0.00996016,0.00332005,0.00996016,0.00332005,0.00996016,0.00332005
2,183.809,1.17233,1.1715,0.01867,0.81775,0.76975,0.85067,0.60156,1.07201,0.79366,0.02559,0.0198614,0.00662045,0.0198614,0.00662045,0.0198614,0.00662045,0.0198614,0.00662045
3,266.952,1.21812,1.1047,0.01978,0.77828,0.7654,0.83785,0.5634,1.21377,0.85322,0.0302,0.0296636,0.00988785,0.0296636,0.00988785,0.0296636,0.00988785,0.0296636,0.00988785
4,349.539,1.26918,1.09709,0.02062,0.75916,0.79035,0.84938,0.56306,1.21069,0.85997,0.03018,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,432.491,1.29607,1.14975,0.02154,0.78975,0.76558,0.84682,0.57477,1.20186,0.83815,0.02928,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,515.826,1.28793,1.10524,0.02167,0.82935,0.76962,0.85762,0.58454,1.17682,0.80809,0.02853,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,599.874,1.24956,1.05674,0.02066,0.79268,0.80731,0.85963,0.5856,1.18413,0.80129,0.02871,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,683.733,1.25733,1.05275,0.02072,0.78176,0.79765,0.84412,0.55432,1.24881,0.85747,0.03132,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,767.241,1.23873,1.01426,0.02049,0.83435,0.76808,0.86484,0.58009,1.17359,0.8228,0.02861,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,852.081,1.23531,1.00872,0.02021,0.80135,0.80441,0.85172,0.56831,1.2339,0.82506,0.03063,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
